0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b20.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b21.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b22.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b25.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/b8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/null HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c7.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/c9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/d2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/d3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/d1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/d4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/d5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/d6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/d7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/h1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/h3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/h2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/h4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/h5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/h6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/h7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/h8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k4.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/k8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/khoa9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:07:06:36 +0700] "GET /thayHa/View/image_sach/l1.jpg HTTP/1.1" 304 -
